"","Sample_names","Sample","Type","Stain","Dilution","Tank","Day","Timepoint","Feeding_status","Time_cont","Counts","BacterialDensity","AlgalDensity","PercentageHNA","HNADensity"
"541","C07 T1.D12.2.B_FIXED_SG_10.fcs","T1.D12.2.B","FIXED","SG",10,"T1","D12","2","B",12.2083333333333,91563,30354052.7100945,994.530084535057,62.7753568581195,19054864.9096635
"542","C07 T1.D16.7.B_FIXED_SG_10.fcs","T1.D16.7.B","FIXED","SG",10,"T1","D16","7","B",16.8333333333333,22979,7610200.36429872,0,47.595630793333,3622122.86802451
"543","C07 T1.D4.3.A_FIXED_SG_10.fcs","T1.D4.3.A","FIXED","SG",10,"T1","D4","3","A",4.33333333333333,23385,7758534.88603563,17252.2477688199,72.3840068419927,5615938.42274643
"544","C07 T1.D5.8.B_FIXED_SG_10.fcs","T1.D5.8.B","FIXED","SG",10,"T1","D5","8","B",5.95833333333333,56459,18741576.7634855,24896.265560166,70.7079473600312,13251784.2323651
"545","C07 T2.D9.5.B_FIXED_SG_10.fcs","T2.D9.5.B","FIXED","SG",10,"T2","D9","5","B",9.58333333333333,29810,9897406.95242206,15936.7840897772,66.0114055686011,6533417.44413825
"546","C07 T3.D13.1.B_FIXED_SG_10.fcs","T3.D13.1.B","FIXED","SG",10,"T3","D13","1","B",13.0833333333333,199035,66100428.414865,332.104546511242,56.5935639460396,37408588.2235728
"547","C07 T3.D17.6.B_FIXED_SG_10.fcs","T3.D17.6.B","FIXED","SG",10,"T3","D17","6","B",17.7083333333333,232579,77320146.2765958,332.446808510638,41.0733557199919,31757978.7234043
"548","C07 T3.D2.2.B_FIXED_SG_10.fcs","T3.D2.2.B","FIXED","SG",10,"T3","D2","2","B",2.20833333333333,1913,633443.708609272,20198.6754966887,66.9628855201255,424172.185430464
"549","C07 T3.D6.7.B_FIXED_SG_10.fcs","T3.D6.7.B","FIXED","SG",10,"T3","D6","7","B",6.83333333333333,59198,19654703.0113882,20585.0127826289,78.8810432784891,15503834.7886716
"550","C07 T4.D10.4.B_FIXED_SG_10.fcs","T4.D10.4.B","FIXED","SG",10,"T4","D10","4","B",10.4583333333333,92242,30676776.7468157,30596.2951877349,63.9339996964506,19612890.35219
"551","C07 T4.D14.8.B_FIXED_SG_10.fcs","T4.D14.8.B","FIXED","SG",10,"T4","D14","8","B",14.9583333333333,30007,10000999.8666844,0,59.7027360282601,5970870.55059325
"552","C07 T4.D17.3.A_FIXED_SG_10.fcs","T4.D17.3.A","FIXED","SG",10,"T4","D17","3","A",17.3333333333333,17724,5890720.5530444,0,73.9336492890995,4355224.67428875
"553","C07 T5.D3.1.B_FIXED_SG_10.fcs","T5.D3.1.B","FIXED","SG",10,"T5","D3","1","B",3.08333333333333,3973,1315083.90983417,8937.1421005594,52.0010067958721,683856.873324286
"554","C07 T5.D7.6.B_FIXED_SG_10.fcs","T5.D7.6.B","FIXED","SG",10,"T5","D7","6","B",7.70833333333333,47039,15626536.4427613,32888.180187363,73.1818278449797,11435784.9976746
"555","C07 T5.D9.2.B_FIXED_SG_10.fcs","T5.D9.2.B","FIXED","SG",10,"T5","D9","2","B",9.20833333333333,49497,9886350.01797627,11784.4445332162,85.7142857142857,8474014.30112252
"556","C08 Artemia.D18.2_FIXED_SG_10.fcs","Artemia.D18.2","FIXED","SG",10,"Artemia","D18","2","Artemia",18.2083333333333,14139,3975649.53323586,25587.6729276797,72.3177028078365,2875098.41412664
