"","OTU","Rep","R2_FS","R2_NOFS","MAE_FS","MAE_NOFS","RMSE_FS","RMSE_NOFS"
"1","Ppolymyxa",1,0.94941825145037,0.993694603149534,5.44224210528835,2.96551118762682,6.80779616401757,4.21531587878066
"2","Ppolymyxa",2,0.963860755543035,0.673139886257128,5.82922390885451,11.8280906842613,7.90629939644158,20.9864194695671
"3","Ppolymyxa",3,0.957437944882561,0.96406740572149,4.91811280271642,4.19904097443738,6.22132961507004,6.65477891158876
"4","Ppolymyxa",4,0.92984018031466,0.902428813959416,5.95353195571693,6.58318108934486,8.00905877940348,10.9472192440992
"5","Ppolymyxa",5,0.911833467486502,0.989339244733035,7.3570422564991,3.84303671501825,9.371991209675,4.94799849547931
"6","Ppolymyxa",6,0.946757128017055,0.919216617309115,6.00218509575699,5.90818548437585,7.1168992964863,8.86071362057283
"7","Ppolymyxa",7,0.786361788977723,0.949332097613183,10.1894815268081,5.0023437232461,14.2031165471219,7.77354816846291
"8","Ppolymyxa",8,0.940973728104547,0.897598050724723,5.25474265676484,6.97138622573456,7.32923941715645,10.0420638238733
"9","Ppolymyxa",9,0.932314008173768,0.972493674589412,5.25884428887297,4.39154927133645,7.8440887255198,6.55939074271305
"10","Ppolymyxa",10,0.908289673387733,0.845710940946076,6.72505335418798,7.60610188383764,9.12103033813481,12.5683389146979
"11","Srhizophila",1,0.992112985109655,0.995389552633324,5.80649642197372,3.85881631817616,8.26230648251628,7.90855175466408
"12","Srhizophila",2,0.979584463144372,0.994406342559926,9.0489252388681,3.2824150913481,16.5824042039107,5.60577700092969
"13","Srhizophila",3,0.994895221939477,0.969951047676731,2.61741199677351,3.00391855553281,4.26461971394642,4.44709326951822
"14","Srhizophila",4,0.993009339483055,0.985930104070219,6.43237119652055,8.16669086971589,14.171660313953,15.2907578765906
"15","Srhizophila",5,0.996026213975382,0.99620298866464,1.21224492715326,3.28630095296346,1.46146612698072,6.35528226953834
"16","Srhizophila",6,0.995499197727603,0.994905130863029,3.80306227408871,4.19240603486334,5.41675744895607,8.75033167489812
"17","Srhizophila",7,0.993763442504487,0.997640522352534,6.91563396770632,7.27047050584544,14.5569504386441,13.4093086784023
"18","Srhizophila",8,0.999973675370796,0.996416523096635,3.30373086321482,8.97749971396292,5.66299229659478,17.4973580027502
"19","Srhizophila",9,0.995809866212967,0.994213970995263,4.32570676802647,3.25675607497761,6.7514983988787,5.82394351531534
"20","Srhizophila",10,0.963620628916292,0.983587520036955,4.58987379671624,8.62100139272272,6.65261331485499,18.0570098701039
"21","Krhizophila",1,0.932566298136966,0.777082537488449,5.7438393977655,13.0712785788949,8.8385384568127,20.3419400363345
"22","Krhizophila",2,0.990446385213811,0.910111437492934,2.6398998751628,6.74057574889796,4.36423801484698,13.9872237265157
"23","Krhizophila",3,0.880322817038606,0.844200069695742,5.32007746945175,4.56013604418361,7.02717300520242,7.27620536187864
"24","Krhizophila",4,0.813028648182618,0.881543691022174,9.68743598962697,11.3175425658928,20.5035757366678,20.3341295339241
"25","Krhizophila",5,0.04423792232354,0.85340496324404,10.4780182429499,10.1323411539112,20.7071473341799,20.3512254412085
"26","Krhizophila",6,0.853096073208641,0.899872308008621,10.9637665746217,6.82387444545758,19.2315008069354,9.82752165526515
"27","Krhizophila",7,0.984409397596629,0.792294795783416,4.30795040181527,12.53908089123,4.89033338395728,20.4919005213675
"28","Krhizophila",8,0.902998372771207,0.0219031178886923,3.68801232352038,11.9555492999247,5.2856820071446,20.7547981423634
"29","Krhizophila",9,0.979133256404462,0.812845000672246,2.79173695162677,10.8554152905107,3.69138412927368,16.896468835537
"30","Krhizophila",10,0.495715631111246,0.887351719982418,6.37287863354684,12.0131405708319,12.7297995324565,20.6891749731029
