"","OTUOfInterest","rep","RMSE(AllPredictionsNS$Predicted, AllPredictionsNS$Real)","MAE(AllPredictionsNS$Predicted, AllPredictionsNS$Real)","R2(AllPredictionsNS$Predicted, AllPredictionsNS$Real)"
"1","Otu00001",1,21.9756358594825,12.2755102040816,0.116991523685933
"2","Otu00001",2,17.6023988264226,9.68888888888889,0.194389469993984
"3","Otu00001",3,12.52822899452,6.23913043478261,0.564084698664059
"4","Otu00001",1,12.3656040396459,6.31632653061224,0.55324142792246
"5","Otu00001",2,15.4671695320551,8.81111111111111,0.333757482634449
"6","Otu00001",3,15.311263259728,8.26086956521739,0.343893130172427
"7","Otu00001",1,12.2649325896464,6.02040816326531,0.56886945731701
"8","Otu00001",2,10.480139948175,5.03333333333333,0.662561858698413
"9","Otu00001",3,9.44549582099044,4.69565217391304,0.725472889929586
"10","Otu00001",1,9.0694598538621,4.76530612244898,0.75943072327245
"11","Otu00001",2,10.7227691282512,5.17777777777778,0.647695526686343
"12","Otu00001",3,10.9797243966361,4.85869565217391,0.644744420410884
