"","OTUOfInterest","rep","RMSE(AllPredictions$Predicted, AllPredictions$Real)","MAE(AllPredictions$Predicted, AllPredictions$Real)","R2(AllPredictions$Predicted, AllPredictions$Real)"
"1","Otu00001",1,24.1203737683479,13.4899159508447,0.172049341817439
"2","Otu00001",2,21.2459711352726,11.5391988915225,0.113657944774489
"3","Otu00001",3,15.7624216975932,7.88787864759932,0.554699735572605
"4","Otu00001",1,15.0972966180449,7.96848813093237,0.461941404532043
"5","Otu00001",2,16.8508389345701,9.27102383426893,0.318212080352676
"6","Otu00001",3,16.8146565601508,8.61660071593596,0.377201956509485
"7","Otu00001",1,14.3274963198186,6.90581129423447,0.569964655773238
"8","Otu00001",2,13.1948326684166,6.2704167705742,0.565075636166435
"9","Otu00001",3,12.6708093754501,6.50421996520833,0.615443679476165
"10","Otu00001",1,13.0816159097774,6.34491367431784,0.587158199929313
"11","Otu00001",2,12.1059278177407,6.29413073411696,0.6695897250998
"12","Otu00001",3,13.3556238610645,6.34392686658397,0.595489858643014
