"","OTUOfInterest","rep","RMSE(AllPredictions$Predicted, AllPredictions$Real)","MAE(AllPredictions$Predicted, AllPredictions$Real)","R2(AllPredictions$Predicted, AllPredictions$Real)"
"1","Otu00001",1,9.91226960533922,5.30633020509446,0.758449124191309
"2","Otu00002",1,9.70734743055536,3.54899656423456,0.390942437610829
"3","Otu00003",1,5.77065158665094,3.41219970861941,0.457036645251983
"4","Otu00004",1,7.85524284735996,3.20871976846875,0.428613020440745
"5","Otu00005",1,4.77415304288029,1.50506146200741,0.549585632709928
"6","Otu00006",1,8.87279055047644,5.02101146230682,0.304012554922414
"7","Otu00007",1,12.0166967812824,3.18429870364758,1.35318212847617e-05
"8","Otu00008",1,5.59657541782526,1.88557952736048,0.717744307378547
"9","Otu00009",1,2.96706205487602,1.59126753466432,0.0561910201294881
"10","Otu00010",1,2.13701927948087,0.615894944966378,0.977189493641768
"11","Otu00011",1,6.83191382492309,2.30766027910808,0.25581942525562
"12","Otu00012",1,0.456678080980568,0.0514439224823745,0.000164365548980934
"13","Otu00013",1,4.62189507441976,1.96074261268224,0.00932508135942758
"14","Otu00014",1,2.9670142113433,0.664241455174479,0.565081121853468
"15","Otu00015",1,1.49324964222309,0.874225023718956,0.186629295472079
"16","Otu00016",1,4.41145531560973,1.90064048322447,0.5515927888587
"17","Otu00017",1,6.50604041905042,2.33364971859491,0.103370561365588
"18","Otu00018",1,0.00768063492894539,0.00231704191389295,NA
"19","Otu00019",1,2.92840961708943,0.710097359793604,0.00862242427237946
"20","Otu00020",1,10.467679543736,3.70424758385422,0.0035960819089668
"21","Otu00022",1,1.74052882106249,0.646534608158575,0.223309655999435
"22","Otu00024",1,14.2108683702927,4.83056361321585,0.00323888808711294
"23","Otu00025",1,4.36104498431905,1.50156312971744,0.293807766592156
"24","Otu00026",1,4.7648972679132,1.84658192553414,0.000459279235007707
"25","Otu00027",1,1.36688653695298,0.70702462530248,0.668262193377041
"26","Otu00028",1,5.92991698181306,1.78327888458787,0.104661693065072
"27","Otu00029",1,4.24661002793441,1.18708969855641,0.402822711281081
"28","Otu00030",1,1.15696761708517,0.609836307178952,0.296029749762131
"29","Otu00032",1,1.35193307419409,0.590086107832377,0.621181213269352
"30","Otu00033",1,2.89994889485827,0.326526284683272,0.00033299552845854
"31","Otu00034",1,0.170931183960683,0.0417655193587245,0.00174817415574238
"32","Otu00035",1,0.583314590292811,0.402643196689007,0.143582158272253
"33","Otu00036",1,4.17662830265457,1.54576298843505,6.30698477866885e-06
"34","Otu00037",1,2.50459782096506,0.622288794290231,0.917812814855339
"35","Otu00038",1,0.912838560766997,0.465456793524013,0.184036223522184
"36","Otu00039",1,0.00234629956206476,0.000320777705262899,0.000164365548980934
"37","Otu00040",1,4.31627779977812,0.9179746608672,0.231507517855323
"38","Otu00041",1,6.18791194859815,1.78422919401971,0.00277125005290258
"39","Otu00042",1,1.66197195210941,0.334558531338904,0.00571471957037616
"40","Otu00043",1,3.03850349385723,1.18527287662119,0.0195258886005721
"41","Otu00045",1,1.33283729250572,0.804347013825196,0.168680209929587
"42","Otu00046",1,0.888721975292523,0.375978352510476,0.063643425484164
"43","Otu00047",1,2.75572959251854,0.733957169969389,0.494077195350713
"44","Otu00048",1,6.05979459524821,2.80882841420899,0.00383374659548729
"45","Otu00049",1,1.43969872674502,0.696560133190411,0.276634212370172
"46","Otu00050",1,0.837641196648222,0.296211649470711,0.659295546826814
