"","OTUOfInterest","rep","fold","RMSE(100 * CombinedNS$Combined, 100 * CombinedNS$TrueValue)","MAE(100 * CombinedNS$Combined, 100 * CombinedNS$TrueValue)","R2(100 * CombinedNS$Combined, 100 * CombinedNS$TrueValue)","sum(CombinedNS$PredictedClass == CombinedNS$TrueClass)/length(CombinedNS$TrueClass)","GMM1_Class","GMM2_Class","GMM3_Class","GMM4_Class","GMM5_Class","GMM6_Class","GMM7_Class","GMM8_Class","GMM9_Class","GMM10_Class","GMM11_Class","GMM12_Class","GMM13_Class","GMM14_Class","GMM15_Class","GMM16_Class","GMM17_Class","GMM18_Class","GMM19_Class","GMM20_Class","GMM21_Class","GMM22_Class","GMM23_Class","GMM24_Class","GMM25_Class","GMM26_Class","GMM27_Class","GMM28_Class","GMM29_Class","GMM30_Class","GMM31_Class","GMM32_Class","GMM33_Class","GMM34_Class","GMM35_Class","GMM36_Class","GMM37_Class","GMM38_Class","GMM39_Class","GMM40_Class","GMM41_Class","GMM42_Class","GMM43_Class","GMM44_Class","GMM45_Class","GMM46_Class","GMM47_Class","GMM48_Class","GMM49_Class","GMM50_Class","GMM51_Class","GMM52_Class","GMM53_Class","GMM54_Class","GMM55_Class","GMM56_Class","GMM57_Class","GMM58_Class","GMM59_Class","GMM60_Class","GMM61_Class","GMM62_Class","GMM63_Class","GMM64_Class","GMM65_Class","GMM66_Class","GMM67_Class","GMM68_Class","GMM69_Class","GMM70_Class","GMM71_Class","GMM72_Class","GMM73_Class","GMM74_Class","GMM75_Class","GMM76_Class","GMM77_Class","GMM78_Class","GMM79_Class","GMM80_Class","GMM81_Class","GMM82_Class","GMM83_Class","GMM84_Class","GMM85_Class","Other_Class","GMM1_Reg","GMM2_Reg","GMM3_Reg","GMM4_Reg","GMM5_Reg","GMM6_Reg","GMM7_Reg","GMM8_Reg","GMM9_Reg","GMM10_Reg","GMM11_Reg","GMM12_Reg","GMM13_Reg","GMM14_Reg","GMM15_Reg","GMM16_Reg","GMM17_Reg","GMM18_Reg","GMM19_Reg","GMM20_Reg","GMM21_Reg","GMM22_Reg","GMM23_Reg","GMM24_Reg","GMM25_Reg","GMM26_Reg","GMM27_Reg","GMM28_Reg","GMM29_Reg","GMM30_Reg","GMM31_Reg","GMM32_Reg","GMM33_Reg","GMM34_Reg","GMM35_Reg","GMM36_Reg","GMM37_Reg","GMM38_Reg","GMM39_Reg","GMM40_Reg","GMM41_Reg","GMM42_Reg","GMM43_Reg","GMM44_Reg","GMM45_Reg","GMM46_Reg","GMM47_Reg","GMM48_Reg","GMM49_Reg","GMM50_Reg","GMM51_Reg","GMM52_Reg","GMM53_Reg","GMM54_Reg","GMM55_Reg","GMM56_Reg","GMM57_Reg","GMM58_Reg","GMM59_Reg","GMM60_Reg","GMM61_Reg","GMM62_Reg","GMM63_Reg","GMM64_Reg","GMM65_Reg","GMM66_Reg","GMM67_Reg","GMM68_Reg","GMM69_Reg","GMM70_Reg","GMM71_Reg","GMM72_Reg","GMM73_Reg","GMM74_Reg","GMM75_Reg","GMM76_Reg","GMM77_Reg","GMM78_Reg","GMM79_Reg","GMM80_Reg","GMM81_Reg","GMM82_Reg","GMM83_Reg","GMM84_Reg","GMM85_Reg","Other_Reg"
"Overall84","Otu00017",1,5,0.446367654606101,0.182576842860879,NA,0.9375,0,0,0,0,81.9462885063312,0,9.16836511224348,100,0,0,0,7.29788484195449,0,0,15.8486149113633,0,0,0,0,0,0,0,0,32.8010258064595,0,0,9.14896979820282,0,0,0,15.0202580304068,0,44.1547442520339,0,0,0,0,0,0,0,0,17.1566016177428,1.43239530396269,0,0,16.1045181627189,0,0,0,12.0698384144247,0,0,0,6.71357613286662,0,0,0,0,0,60.7996824173553,18.8896364639968,28.060947200319,0,0,0,0,1.54752252614834,0,0,0,0,0,0,0,0,0,0,0,0,10.5995789735354,0,0,42.8818164945939,0,0,0,0.753512402304822,0,1.55772250582618,1.37795394528969,6.55332324842829,1.8331267119448,0,5.12757206524416,3.13591053996602,2.60227791755458,1.74097526623321,0,1.06751607377768,0,0,0,2.57181530079295,0,2.43731362727991,0,0,2.99609832430713,0,4.39747300734571,0,1.81393065096108,2.89449193755117,0.556766952744581,2.03029261708563,1.41837945287982,0.915844367501852,2.25590659415771,1.96454308252634,0,0.871072038140822,1.22240221414076,2.56427673490053,0,0,1.52532829894111,0.77387555103534,1.35861719616092,1.04036192150652,0,2.26103608250619,0,0,0,2.12498847265915,1.45375085777083,1.01618146898964,1.04063746178307,0.629624780614493,0.133644108357633,0,0,1.36885441599932,0.51088913578991,0,6.04384665346462,0.708122708146478,0.925260051497649,0,0,1.4001844633476,1.56140864393261,0,1.04567863239,0,0,0,1.14950194779058,2.04395084226253,1.34366049640648,0,0.948223052019507,2.0317586593395,0,0.693871756974126,1.62281612441599,0,0,5.93895119501366,0.644477441999119,0,0
"Overall85","Otu00018",1,1,0.00564321884353455,0.00156514729992526,NA,1,0,0,0,0,15.6255302269417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70262357738484,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.195818483433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall86","Otu00018",1,2,0.013193812934698,0.00626259913240167,NA,1,0,0,0,0,51.1283707129144,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4253039001191,0,51.4419164278571,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9780649152233,0,0,0,0,38.3308888300213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall87","Otu00018",1,3,0,0,NA,1,0,0,0,0,32.422234963287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5780702561398,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2220603387634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall88","Otu00018",1,4,0.00896897164628618,0.0035147006904804,NA,1,0,0,0,0,52.647522103892,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0361561645428,0,26.4334939151565,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall89","Otu00018",1,5,0,0,NA,1,0,0,0,0,38.4243029244141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0708752543783,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2.71624864959005,0,0,0,0,0,0,22.2841688937374,0,0,0,0,1.5203629074098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall90","Otu00019",1,1,0.657530146010616,0.346238210407245,0.0014632366404877,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36598661200969,0,0,0,0,6.34609548014065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4565852919295,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07011811414748,0,0,0,0,25.862339012773,0,0,0,0,38.1367735873483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.9307692857312,0,0,0,0,0
"Overall91","Otu00019",1,2,1.449854185418,0.646636026886779,NA,0.823529411764706,0,0,0,0,0,0,10.6761357033783,16.0209234763439,0,0,0,0,0,0,52.211568226761,0,0,7.33882423229857,0,80.5507954445925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7458768864475,0,5.79695763452345,5.0186966945495,22.4076875802184,10.8741415691441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47519320953382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5759913032168,35.3136390420124,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.9746105482396,0,0,0,0,43.0253894517605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall92","Otu00019",1,3,1.21650593487389,0.610918612568567,0.101940637180187,0.823529411764706,0,0,0,0,0,0,19.02308034829,28.2800593468462,0,0,0,0,0,0,68.6713415448622,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0739059619468,6.48934080307028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7569309742843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0181311725251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5675821174185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4324178825815,0,0,0,0,0
"Overall93","Otu00019",1,4,6.16743946981464,1.75553635919881,0.00983077936393528,0.9375,0,0,0,0,0,0,14.9224968643226,7.67144137952823,0,0,0,0,0,0,34.7721625218633,0,0,0,0,44.4322500125351,0,0,0,7.84046677706112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8382057248785,11.5161916238651,0,32.6715740952649,0,0,0,0,0,0,0,0,0,0,0,0,13.2837016369731,0,0,0,16.6358809489241,0,0,0,0,0,0,0,3.61364565831768,0,0,0,49.297603068117,24.541892632661,0,0,0,0,100,0,0,0,0,0,11.7938039454286,0,0,0,0,0,0,0,0,0,0,0,0,4.17475486732995,6.16935608251621,3.97001850828882,0,0,0,5.77180275675782,0,0,14.9404688758252,0,13.2324170212094,0,0,0,7.50713762534508,0,0,0,0,3.49280244079024,0.421255611907689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55495488226924,4.59483873505768,0,0,0,0,0,0,0,0,0,3.61845906905975,0,0,1.91358575426976,0,0,0,0,4.26309931767706,0,0,0,0,0,0,1.46492157968607,0,6.11632292658139,0,0,0,0,0
